"subject","location","age","sex","condition","rating","cell","frequency","duration","effect","condition_simple","freq_A","freq_B","freq_C","freq_D","dur_A","dur_B","dur_C","dur_D"
18,"nz",20,"male","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
33,"nz",20,"male","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
40,"nz",43,"female","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
41,"nz",21,"female","fewB",-4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
42,"nz",20,"male","fewB",4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
44,"nz",22,"male","fewB",-4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
50,"nz",21,"female","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
56,"nz",24,"female","fewB",0,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
57,"nz",22,"male","fewB",-8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
61,"nz",18,"female","fewB",-6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
65,"nz",20,"female","fewB",8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
67,"nz",24,"female","fewB",4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
68,"nz",20,"female","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
70,"nz",20,"female","fewB",8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
75,"nz",21,"female","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
81,"nz",14,"female","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
87,"nz",45,"female","fewB",-5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
109,"nz",21,"female","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
126,"nz",20,"male","fewB",-6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
127,"nz",46,"female","fewB",-3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
132,"nz",21,"male","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
137,"nz",29,"male","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
141,"nz",29,"female","fewB",8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
142,"nz",31,"female","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
144,"nz",32,"female","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
146,"nz",35,"female","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
147,"nz",20,"female","fewB",1,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
149,"nz",29,"female","fewB",9,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
204,"nz",20,"female","fewB",10,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
213,"nz",27,"female","fewB",0,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
216,"nz",50,"female","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
219,"nz",21,"female","fewB",4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
220,"nz",21,"male","fewB",7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
225,"nz",20,"female","fewB",0,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
226,"nz",20,"female","fewB",7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
234,"nz",26,"male","fewB",4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
237,"nz",32,"female","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
247,"nz",20,"female","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
249,"nz",25,"female","fewB",7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
250,"nz",18,"female","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
251,"nz",29,"female","fewB",1,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
1,"mt",NA,"","fewB",-5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
2,"mt",NA,"","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
3,"mt",NA,"","fewB",7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
4,"mt",NA,"","fewB",1,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
5,"mt",NA,"","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
6,"mt",NA,"","fewB",-1,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
7,"mt",NA,"","fewB",9,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
8,"mt",NA,"","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
9,"mt",NA,"","fewB",7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
10,"mt",NA,"","fewB",7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
11,"mt",NA,"","fewB",-4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
12,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
13,"mt",NA,"","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
14,"mt",NA,"","fewB",9,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
15,"mt",NA,"","fewB",-4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
16,"mt",NA,"","fewB",8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
17,"mt",NA,"","fewB",-7,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
18,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
19,"mt",NA,"","fewB",8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
20,"mt",NA,"","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
21,"mt",NA,"","fewB",8,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
22,"mt",NA,"","fewB",4,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
23,"mt",NA,"","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
24,"mt",NA,"","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
25,"mt",NA,"","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
26,"mt",NA,"","fewB",-1,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
27,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
28,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
29,"mt",NA,"","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
30,"mt",NA,"","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
31,"mt",NA,"","fewB",0,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
32,"mt",NA,"","fewB",10,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
33,"mt",NA,"","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
34,"mt",NA,"","fewB",2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
35,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
36,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
37,"mt",NA,"","fewB",5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
38,"mt",NA,"","fewB",-5,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
39,"mt",NA,"","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
40,"mt",NA,"","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
41,"mt",NA,"","fewB",6,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
42,"mt",NA,"","fewB",-9,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
43,"mt",NA,"","fewB",-2,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
1,"nz",24,"female","fewC",7,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
